#ff65a389,#ff6984a3,#ff97a4a2,#ffd3a080
39781.416749294825,11331.881538915262,2282.001566572651,321.41828919151516
39666.899248793656,11290.72353667073,2261.637481823365,311.8646945961525
39552.517934123076,11254.070390180752,2247.8485585013127,306.1663202647746
39422.685067383965,11217.397443142478,2237.329559926335,302.6141000684841
39293.94480681567,11180.840096019318,2228.449268217213,300.24447920943913
39146.92682700579,11642.521283151456,2270.18944651765,301.84935493927003
39066.50478466321,11362.29883369003,2262.953326313065,302.16816955268945
38944.12597061998,11204.350481294903,2243.5715365721276,301.0322031289423
38826.837933699455,11108.475998248892,2224.3514989386445,299.1796568313054
38701.09299468168,61032.568044009604,7205.172643204162,631.1443765438435
38593.0463633631,36061.93217621541,7187.354174900921,795.9358466732574
38450.280556905884,23542.985396609984,5927.138320609883,794.1056085769131
38347.61099885295,17246.18837433758,4670.70625462649,709.2174042372496
38210.331571538925,14061.892474360742,3727.26814013795,603.7190300367123
38052.34175129589,12460.714624677317,3097.83259384098,508.9017946039479
37941.02230869042,11630.704725944292,2701.691596889814,435.017267255846
37819.525287291995,11190.121425855492,2460.5471412611996,381.95821967771394
37705.6595643155,10948.772996703101,2316.4368890393907,345.79715032281956
37563.30760102285,10807.745267685572,2230.640314360193,321.98243908710344
37435.64199442153,10716.645914920242,2178.848354984625,306.6135904281096
37323.892687179905,10653.707378478532,2146.7908157847296,296.7866143565915
37183.316957688316,10601.322664206182,2125.6088150516775,290.45743641465504
37050.97297104775,11038.054637279809,2158.7471922378663,289.5076360887721
36895.4723767232,10759.886080151702,2147.4376708121176,288.2768688453278
36781.154807214676,10601.378627836695,2125.9702869206913,286.2267218864963
36678.10809826737,60599.0392941878,7113.44456978178,618.537294600204
36547.00157924552,35762.971999940615,7112.419698199776,784.6240840066456
36423.71330307025,23314.271921540214,5867.5960765832715,784.4702403290011
36313.01917273957,17019.963102906022,4619.042222895132,700.9467717053091
36205.226674824364,13796.624610990379,3675.551580978024,596.1272559600978
